id,Direction,Topic
ad-1,1,0
ad-2,0,1
ad-3,0,0
ad-4,0,1
ad-5,1,0
ad-6,0,0
ad-7,0,0
ad-8,1,0
ad-9,0,1
ad-10,0,1
ad-11,1,0
ad-12,0,1
ad-13,0,1
ad-14,0,1
ad-15,0,0
ad-16,0,1
ad-17,0,1
ad-18,1,0
ad-19,0,1
ad-20,1,0
ad-21,1,0
ad-22,0,1
ad-23,1,0
ad-24,0,1
ad-25,0,1
ad-26,1,0
ad-27,0,1
ad-28,1,0
ad-29,0,0
ad-30,0,1
ad-31,0,0
ad-32,0,1
ad-33,1,0
ad-34,0,1
ad-35,0,1
ad-36,0,1
ad-37,0,1
ad-38,0,1
ad-39,0,1
ad-40,0,0
ad-41,0,1
ad-42,0,1
ad-43,0,1
ad-44,0,0
ad-45,1,1
ad-46,0,1
ad-47,0,1
ad-48,0,1
ad-49,0,1
ad-50,0,0
ad-51,0,1
ad-52,1,0
ad-53,0,1
ad-54,1,0
ad-55,0,1
ad-56,1,0
ad-57,1,0
ad-58,1,0
ad-59,0,1
ad-60,0,1
ad-61,0,1
ad-62,0,1
ad-63,1,1
ad-64,0,0
ad-65,0,0
ad-66,0,1
ad-67,1,0
ad-68,0,0
ad-69,1,0
ad-70,0,1
ad-71,1,0
ad-72,0,1
ad-73,1,0
ad-74,0,1
ad-75,0,1
ad-76,1,0
ad-77,1,0
ad-78,1,0
ad-79,0,1
ad-80,1,0
ad-81,0,0
ad-82,0,1
ad-83,0,1
ad-84,0,0
ad-85,0,1
ad-86,0,0
ad-87,0,1
ad-88,1,0
ad-89,1,0
ad-90,0,0
ad-91,0,1
ad-92,1,0
ad-93,0,1
ad-94,0,1
ad-95,0,1
ad-96,1,0
ad-97,0,1
ad-98,1,0
ad-99,1,0
ad-100,1,0
ad-101,0,1
ad-102,0,0
ad-103,0,1
ad-104,0,1
ad-105,0,1
ad-106,1,0
ad-107,0,1
ad-108,0,1
ad-109,0,0
ad-110,0,1
ad-111,0,1
ad-112,1,1
ad-113,0,1
ad-114,0,1
ad-115,0,1
ad-116,0,0
ad-117,0,1
ad-118,0,1
ad-119,0,1
ad-120,0,1
ad-121,1,1
ad-122,0,0
ad-123,1,0
ad-124,1,0
ad-125,0,1
ad-126,1,0
ad-127,1,0
ad-128,0,0
ad-129,0,1
ad-130,1,0
ad-131,0,1
ad-132,0,1
ad-133,1,1
ad-134,1,0
ad-135,0,1
ad-136,0,0
ad-137,1,0
ad-138,0,1
ad-139,0,1
ad-140,0,1
ad-141,1,0
ad-142,0,0
ad-143,1,0
ad-144,1,0
ad-145,0,1
ad-146,0,1
ad-147,0,1
ad-148,0,1
ad-149,1,1
ad-150,0,1
ad-151,0,1
ad-152,0,1
ad-153,0,1
ad-154,0,1
ad-155,1,0
ad-156,0,1
ad-157,1,0
ad-158,1,0
ad-159,1,0
ad-160,0,1
ad-161,0,1
ad-162,0,0
ad-163,0,1
ad-164,0,1
ad-165,0,1
ad-166,1,0
ad-167,0,0
ad-168,0,0
ad-169,0,1
ad-170,0,1
ad-171,1,0
ad-172,0,1
ad-173,0,0
ad-174,0,1
ad-175,0,1
ad-176,0,1
ad-177,0,1
ad-178,1,0
ad-179,0,1
ad-180,1,0
ad-181,0,1
ad-182,0,1
ad-183,1,0
ad-184,0,1
ad-185,0,1
ad-186,0,1
ad-187,1,0
ad-188,1,0
ad-189,0,1
ad-190,0,1
ad-191,1,0
ad-192,0,1
ad-193,0,1
ad-194,0,1
ad-195,1,0
ad-196,0,1
ad-197,0,1
ad-198,0,1
ad-199,0,1
ad-200,0,0
ad-201,0,0
ad-202,1,0
ad-203,0,0
ad-204,0,1
ad-205,1,0
ad-206,0,1
ad-207,0,1
ad-208,0,1
ad-209,0,1
ad-210,1,0
ad-211,1,0
ad-212,1,0
ad-213,1,0
ad-214,1,0
ad-215,0,0
ad-216,1,0
ad-217,1,0
ad-218,1,0
ad-219,0,1
ad-220,0,1
ad-221,0,1
ad-222,0,1
ad-223,1,0
ad-224,0,0
ad-225,1,0
ad-226,0,1
ad-227,0,0
ad-228,1,0
ad-229,0,1
ad-230,1,0
ad-231,0,1
ad-232,0,1
ad-233,0,1
ad-234,0,1
ad-235,0,1
ad-236,0,1
ad-237,0,1
ad-238,0,0
ad-239,1,0
ad-240,0,0
ad-241,1,0
ad-242,1,0
ad-243,0,1
ad-244,0,1
ad-245,0,1
ad-246,1,0
ad-247,0,1
ad-248,1,0
ad-249,0,1
ad-250,1,0
ad-251,1,1
ad-252,1,0
ad-253,0,1
ad-254,0,0
ad-255,0,1
ad-256,0,0
ad-257,1,0
ad-258,1,0
ad-259,0,1
ad-260,0,1
ad-261,1,0
ad-262,0,1
ad-263,1,0
ad-264,0,1
ad-265,0,1
ad-266,0,1
ad-267,0,1
ad-268,1,0
ad-269,0,1
ad-270,0,1
ad-271,0,0
ad-272,0,1
ad-273,0,1
ad-274,1,0
ad-275,0,1
ad-276,0,0
ad-277,1,0
ad-278,1,0
ad-279,0,1
ad-280,0,1
ad-281,0,1
ad-282,1,0
ad-283,1,0
ad-284,0,0
ad-285,1,0
ad-286,0,1
ad-287,0,1
ad-288,0,1
ad-289,0,1
ad-290,1,0
ad-291,0,1
ad-292,0,1
ad-293,0,1
ad-294,0,0
ad-295,0,0
ad-296,0,0
ad-297,0,1
ad-298,0,1
ad-299,0,1
ad-300,0,0
ad-301,0,1
ad-302,0,1
ad-303,0,1
ad-304,0,1
ad-305,0,1
ad-306,1,0
ad-307,0,1
ad-308,0,1
ad-309,1,0
ad-310,1,0
ad-311,0,1
ad-312,0,1
ad-313,0,0
ad-314,1,0
ad-315,1,0
ad-316,0,1
