id,Anger,Anticipation,Disgust,Fear,Joy,Love,Neutral,Sadness,Surprise,Trust
ad-1,0,0,0,0,0,0,0,0,0,1
ad-2,0,0,0,0,0,0,0,0,1,0
ad-3,0,0,0,0,0,0,0,0,0,1
ad-4,0,0,0,0,0,0,0,0,0,1
ad-5,0,0,0,0,0,0,0,0,0,1
ad-6,0,0,0,0,0,0,0,1,0,0
ad-7,0,0,1,0,0,0,0,0,0,0
ad-8,0,0,1,0,0,0,0,0,0,0
ad-9,0,0,1,0,0,0,0,0,0,0
ad-10,0,0,0,0,0,0,1,0,0,0
ad-11,0,0,0,0,0,0,0,0,0,1
ad-12,0,0,0,0,0,0,0,0,0,1
ad-13,0,0,0,0,0,0,0,0,0,1
ad-14,0,0,0,0,0,1,0,0,0,0
ad-15,0,0,0,0,0,0,1,0,0,0
ad-16,0,0,0,0,1,1,0,0,0,1
ad-17,0,0,0,0,1,1,0,0,0,0
ad-18,0,0,0,0,0,0,0,0,0,1
ad-19,0,0,1,0,0,0,0,0,0,0
ad-20,0,0,0,0,0,0,0,0,0,1
ad-21,0,0,0,0,1,0,0,0,0,0
ad-22,0,0,0,0,0,1,0,0,0,1
ad-23,0,0,1,0,0,0,0,0,0,0
ad-24,0,0,0,0,0,0,1,0,0,0
ad-25,0,0,0,0,0,0,1,0,0,0
ad-26,0,0,0,0,1,0,0,0,0,0
ad-27,0,0,0,0,0,0,0,0,0,1
ad-28,0,0,0,0,0,1,0,0,0,0
ad-29,0,0,0,0,0,0,1,0,0,0
ad-30,0,0,1,0,0,0,0,0,0,0
ad-31,0,0,0,0,0,0,0,0,0,1
ad-32,0,0,0,0,0,0,0,0,0,1
ad-33,0,0,0,0,0,0,0,0,0,1
ad-34,0,0,0,0,1,0,0,0,0,0
ad-35,0,0,1,0,0,0,0,0,0,0
ad-36,0,0,0,0,0,0,0,1,0,0
ad-37,0,0,0,0,0,0,0,0,0,1
ad-38,0,0,1,0,0,0,0,1,1,0
ad-39,0,0,0,0,0,0,0,0,0,1
ad-40,0,0,0,0,0,0,0,0,0,1
ad-41,0,0,0,0,0,0,1,0,0,0
ad-42,0,0,1,0,0,0,0,0,0,0
ad-43,0,0,0,0,0,0,0,0,0,0
ad-44,0,0,0,0,0,0,0,0,1,0
ad-45,0,0,0,0,0,0,0,0,0,1
ad-46,0,0,0,0,0,0,0,0,0,1
ad-47,0,0,0,0,0,0,0,0,0,1
ad-48,0,0,1,0,0,0,0,0,0,0
ad-49,0,0,0,0,0,1,0,1,0,0
ad-50,0,0,0,0,0,1,0,0,0,0
ad-51,0,0,0,0,0,0,0,0,0,0
ad-52,1,0,1,0,0,0,0,0,0,0
ad-53,0,0,1,0,0,0,0,0,0,0
ad-54,0,0,0,0,0,0,0,0,0,1
ad-55,0,0,0,0,0,0,0,0,0,0
ad-56,0,0,0,0,0,0,0,0,0,1
ad-57,0,0,1,0,0,0,0,0,0,0
ad-58,0,0,0,0,0,0,0,0,0,1
ad-59,0,0,1,0,0,0,0,0,0,0
ad-60,0,0,1,0,0,0,0,0,0,0
ad-61,0,0,0,0,0,0,0,0,0,1
ad-62,0,0,0,0,0,0,0,0,0,1
ad-63,0,0,0,0,0,1,0,0,0,1
ad-64,0,0,0,0,1,0,0,0,0,0
ad-65,0,0,0,0,0,0,0,0,0,1
ad-66,0,0,1,0,0,0,0,0,0,0
ad-67,0,0,0,0,0,0,0,0,1,0
ad-68,0,0,0,0,0,0,0,0,1,0
ad-69,0,0,0,0,0,0,0,0,0,1
ad-70,0,0,0,0,0,1,0,0,0,1
ad-71,0,0,0,0,0,0,0,0,0,1
ad-72,1,0,1,0,0,0,0,0,0,0
